date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:17	131249/131249	---M-Z	200	added ('OK')	text/css	etag:W/%22200b1-MKAa+4M4VVJ4FiZV5KjnrFd3TzU%22	https://cdn.jsdelivr.net/npm/remixicon@4.0.0/fonts/remixicon.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/cdn.jsdelivr.net/npm/remixicon@4.0.0/fonts/remixicon8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:17	35548/35548	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Nov%202024%2004:29:18%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/feed/	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/feed/index.html	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:17	645/645	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2002:39:40%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/preload.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/preload8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:17	618/618	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2002:38:12%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset-wedding.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset-wedding8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:17	25343/25343	---M-Z	200	added ('OK')	text/css	etag:W/%2262ff-giaeOPBfIiHawF4nBpcYwhHxYEE%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui@5.0/dist/fancybox/fancybox.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/cdn.jsdelivr.net/npm/@fancyapps/ui@5.0/dist/fancybox/fancybox8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:18	18458/18458	---M-Z	200	added ('OK')	text/css	etag:W/%22481a-w966VhbiP2ej2teDfp6jz8kAtCQ%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:18	4040/4040	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2002:39:40%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/animation.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/animation8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:18	26053/26053	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2002:39:40%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/aos.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/aos8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:18	1094/1094	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2002:39:40%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/footer.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/footer8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:19	10926/10926	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202024%2003:08:10%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/wedding.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/wedding8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
